crab_year,IOPAC,num_vessels,total_rev,total_pounds
2017,Astoria,72,26250279.202341348,127249997
2018,Astoria,87,44702932.866643265,159688978
2019,Astoria,86,43106369.88834199,173570777
2020,Astoria,72,46248016.108977064,145589503
2021,Astoria,80,55337554.147472195,144326996
2022,Astoria,80,49924159.109511346,144331492
2017,Bodega Bay,132,7490476.577918,1499074.71
2018,Bodega Bay,204,8465959.5876376,1560838.01
2019,Bodega Bay,219,12730285.502835477,3045209.82
2020,Bodega Bay,215,8837868.019547548,1377103.68
2021,Bodega Bay,226,8466463.7091385,1714293.65
2022,Bodega Bay,55,3818239.8785,1604698.79
2017,Brookings,109,10618318.483048901,5438148
2018,Brookings,89,6901201.3810433475,2933819
2019,Brookings,67,6652994.751384604,4150426
2020,Brookings,67,3029605.3025084413,2489918
2021,Brookings,66,7859420.518705131,2583662
2022,Brookings,62,7571234.233240033,4125211
2017,Columbia River,131,2228781.08799,350644
2018,Columbia River,132,1073158.7771180586,282472
2019,Columbia River,125,1731250.70999,655328
2020,Columbia River,136,2903997.21364,1066890
2021,Columbia River,139,2729510.6075,1059818
2022,Columbia River,151,3190707.490875,1066782
2017,Coos Bay,141,12834644.265827365,7752690
2018,Coos Bay,129,12654396.124331417,6877971
2019,Coos Bay,122,10121873.04078536,7169023
2020,Coos Bay,100,11431493.458358312,7085794
2021,Coos Bay,100,13574106.423662165,6136308
2022,Coos Bay,71,9108636.337948214,3880006
2017,Crescent City,91,14244085.6793656,4054193.95
2018,Crescent City,84,11882432.275744,3340380.9
2019,Crescent City,44,5650277.496171143,1591320.11
2020,Crescent City,39,1076785.4125583332,218809.78
2021,Crescent City,48,10500873.262666667,2101531.15
2022,Crescent City,55,10680707.85478339,4370376.35
2017,Eureka,100,12957068.344598245,6836157.37
2018,Eureka,104,9085808.171062712,6426054.22
2019,Eureka,65,5708487.685732666,4325734.97
2020,Eureka,52,3257594.4782835487,3446283.9
2021,Eureka,65,9054259.383654784,4476987.41
2022,Eureka,54,7448476.810424018,3926372.45
2017,Fort Bragg,129,7937887.816253404,3348236.75
2018,Fort Bragg,114,5248891.0704064,2765402.35
2019,Fort Bragg,100,4738620.046949357,3170166.28
2020,Fort Bragg,160,6451248.357441756,3150295.1
2021,Fort Bragg,123,5471531.72335509,4096067.62
2022,Fort Bragg,50,4303520.060008139,3910382.04
2017,Monterey,202,6916857.1749948,9756413.85
2018,Monterey,239,6255034.5064982,4250343.17
2019,Monterey,236,9634267.37839863,9204400.24
2020,Monterey,258,14323153.422534227,14837624.95
2021,Monterey,256,6846479.899041781,2405221.06
2022,Monterey,73,3208360.028531974,1753189.98
2017,Morro Bay,67,2309587.54367764,850491.33
2018,Morro Bay,142,4221011.2179729,965829.28
2019,Morro Bay,63,1163579.6442507019,340137.25
2020,Morro Bay,62,1338962.905625594,354407.46
2021,Morro Bay,47,901787.501925,220170.79
2022,Morro Bay,29,905269.5307629545,253922.71
2017,Newport,177,35911190.029938534,106950603
2018,Newport,187,39685771.50805774,107198708
2019,Newport,170,35626269.95038893,97600157
2020,Newport,171,34344397.870418906,91915371
2021,Newport,169,38690545.638633266,86662758
2022,Newport,118,32041345.60906405,77683718
2017,North WA Coast,44,1508081.25846192,293727.775
2018,North WA Coast,59,1744999.06507435,362136.003
2019,North WA Coast,23,764127.5069527273,164526
2020,North WA Coast,32,1344978.4328968355,251776.531
2021,North WA Coast,40,1878027.704665,401803.754
2022,North WA Coast,27,1160878.05216,356991.6847
2017,Puget Sound,188,7671272.78494396,3630120.3811
2018,Puget Sound,215,6969728.27459434,4586608.6763
2019,Puget Sound,142,NA,1001172.1448
2020,Puget Sound,117,4111129.4327634485,1246712
2021,Puget Sound,152,NA,3794829.9669
2022,Puget Sound,111,2684480.97,1173625
2017,San Francisco,253,16013528.257425172,6731322.28
2018,San Francisco,296,15851070.428775383,3765505.7
2019,San Francisco,295,21249060.398041114,7702595.37
2020,San Francisco,247,14716692.919890562,4962998.21
2021,San Francisco,239,17445093.311855797,3472788.62
2022,San Francisco,126,7724173.245481239,2817590.2
2017,Santa Barbara,51,13247095.3178311,19586415.96
2018,Santa Barbara,48,6822867.632950719,8574980.67
2019,Santa Barbara,32,3300295.550466415,3299008.59
2020,Santa Barbara,30,4600040.81426611,3077150.21
2021,Santa Barbara,38,18257496.745839287,25820206.58
2022,Santa Barbara,38,15521681.480856048,22841625.55
2017,Tillamook,65,2745346.90928,818043
2018,Tillamook,57,2292563.632132769,674219
2019,Tillamook,58,2427671.8570499998,607946
2020,Tillamook,66,3897381.4934918606,775235
2021,Tillamook,75,3183942.449132394,680124
2022,Tillamook,49,2405643.760334133,797634
2017,Unknown Ports,358,20935943.1769366,8177258.7921
2018,Unknown Ports,158,1915696.592758,768557
2019,Unknown Ports,124,1169247.3760790909,670382
2020,Unknown Ports,147,NA,735428
2021,Unknown Ports,132,2137572.62,1295096
2022,Unknown Ports,53,515588.47,395636.9
2017,WA Coast,201,15524065.455432665,108675874.5116
2018,WA Coast,233,30471650.236342955,110294418.11723487
2019,WA Coast,216,34780161.6820837,99855628.5569
2020,WA Coast,213,NA,111754081.5467
2021,WA Coast,229,NA,78716364.4728
2022,WA Coast,192,31258873.66780475,79839841.2039
