crab_year,IOPAC,species_group_2_label2,SPGRPN2,num_vessels,total_rev,total_pounds
2017,Astoria,Coastal pelagics,45,19,7551.573792981733,195781
2017,Astoria,Crab,25,18,2307351.0784347826,721270
2017,Astoria,DTS groundfish,1,29,2897734.0823457614,3863971.05691741
2017,Astoria,Herring,40,16,2775.556603109957,44552
2017,Astoria,Non-DTS groundfish,3,34,6579746.348919179,17047345.94308259
2017,Astoria,Other,80,23,456357.31415483257,208401.7343
2017,Astoria,Pacific halibut,50,15,8827.056846072835,2046
2017,Astoria,Pink shrimp,21,3,535734.1675128205,714111
2017,Astoria,Salmon,30,31,37860.19948411931,5613
2017,Astoria,Skate/dogfish/shark,19,28,357884.3043247613,742841.2657
2017,Astoria,Squid,70,18,826.054976931087,5146
2017,Astoria,Tuna,35,18,417676.5,263873
2017,Astoria,Whiting,2,26,9244556.123377148,103435045
2018,Astoria,Coastal pelagics,45,21,1054461.2769717954,541999
2018,Astoria,Crab,25,22,1951227.377434939,578025
2018,Astoria,DTS groundfish,1,30,3293260.7898857445,4276533.25914411
2018,Astoria,Herring,40,19,202272.0874891578,133067
2018,Astoria,Non-DTS groundfish,3,33,7810938.045154173,14525484.94939555
2018,Astoria,Other,80,29,735333.1123707971,484479.8829
2018,Astoria,Pacific halibut,50,17,6817.61405950134,1583
2018,Astoria,Pink shrimp,21,8,1415375.296,1833850
2018,Astoria,Salmon,30,41,41947.0937349675,11940
2018,Astoria,Skate/dogfish/shark,19,29,1857670.2218618097,1100652.90856034
2018,Astoria,Squid,70,22,29044.371490532314,11785
2018,Astoria,Tuna,35,29,518794.05,315840
2018,Astoria,Whiting,2,27,20804312.025539145,135873738
2019,Astoria,Coastal pelagics,45,24,1123392.2314457349,602715
2019,Astoria,Crab,25,30,2346418.100778751,670204
2019,Astoria,DTS groundfish,1,36,1938653.350347812,3324543.84823475
2019,Astoria,Echinoderms,60,4,10.640912333333329,6
2019,Astoria,Herring,40,22,191059.8025898037,64643
2019,Astoria,Non-DTS groundfish,3,44,10928389.81757323,19968935.15176525
2019,Astoria,Other,80,32,1829344.8956695658,667472.3756
2019,Astoria,Pacific halibut,50,19,22366.087981466782,3387
2019,Astoria,Pink shrimp,21,9,2044929.572518199,3492182
2019,Astoria,Prawns/shrimp,20,3,7.75,3
2019,Astoria,Salmon,30,41,27104.067225685532,6966
2019,Astoria,Skate/dogfish/shark,19,33,592681.3367637674,550512.6244
2019,Astoria,Squid,70,32,396773.304276554,592693
2019,Astoria,Tuna,35,18,670725.875,462237
2019,Astoria,Whiting,2,31,16797238.712064516,143164277
2020,Astoria,Coastal pelagics,45,20,2674755.8036509473,1006949
2020,Astoria,Crab,25,32,1916809.0898193722,359897
2020,Astoria,DTS groundfish,1,26,2660812.3711864264,3442619
2020,Astoria,Herring,40,18,15928.415438302209,15246
2020,Astoria,Non-DTS groundfish,3,32,9692889.735086761,18323633
2020,Astoria,Other,80,26,459897.87392987765,195394.3414
2020,Astoria,Pacific halibut,50,16,9862.813805252086,1456
2020,Astoria,Pink shrimp,21,6,1367744.5433030303,2742030
2020,Astoria,Salmon,30,38,56053.45436387538,7643
2020,Astoria,Skate/dogfish/shark,19,23,371253.94787483785,493181.6586
2020,Astoria,Squid,70,20,59700.36656995536,22860
2020,Astoria,Tuna,35,7,296389.33285714284,124550
2020,Astoria,Whiting,2,26,23691904.707230072,118854041
2021,Astoria,Coastal pelagics,45,17,2131235.4395858897,1549534
2021,Astoria,Crab,25,19,4066226.2686262773,754760
2021,Astoria,DTS groundfish,1,29,3481271.2978761084,4227796.69313087
2021,Astoria,Herring,40,17,396247.88025168394,242722
2021,Astoria,Non-DTS groundfish,3,34,11316507.648718696,19315016.30686913
2021,Astoria,Other,80,27,1315299.0699838512,473975.5379
2021,Astoria,Pacific halibut,50,17,24140.545017630655,3669
2021,Astoria,Pink shrimp,21,6,2374663.209294283,4253919
2021,Astoria,Salmon,30,48,168512.2260374344,31296
2021,Astoria,Skate/dogfish/shark,19,28,692230.2873826742,596380.4621
2021,Astoria,Squid,70,20,43892.082294001426,17144
2021,Astoria,Tuna,35,16,451030.95,209668
2021,Astoria,Whiting,2,26,25248381.795632705,112651112
2022,Astoria,Coastal pelagics,45,24,2928829.7931222264,1281206
2022,Astoria,Crab,25,26,3184959.186302717,1339998
2022,Astoria,DTS groundfish,1,33,3358508.9864312047,4447611.44870712
2022,Astoria,Herring,40,21,215880.40081134488,111351
2022,Astoria,Non-DTS groundfish,3,36,10125164.424304511,15507357.55129288
2022,Astoria,Other,80,30,758262.1124144365,329762.0041
2022,Astoria,Pacific halibut,50,17,26482.130364307715,4026
2022,Astoria,Pink shrimp,21,10,2771830.8383793104,6004599
2022,Astoria,Salmon,30,49,166258.9079985036,23444
2022,Astoria,Skate/dogfish/shark,19,31,499194.4893117192,544888.9959
2022,Astoria,Squid,70,25,107727.48547324842,44024
2022,Astoria,Tuna,35,10,156931.3,87833
2022,Astoria,Whiting,2,29,23031682.089566767,114605391
2017,Bodega Bay,CA halibut/croaker,55,14,27143.405,3315.8
2017,Bodega Bay,Crab,25,56,5428823.376,1316667.03
2017,Bodega Bay,DTS groundfish,1,28,197126.688,59461.5
2017,Bodega Bay,Non-DTS groundfish,3,20,16702.725,4777.8
2017,Bodega Bay,Other,80,3,205.63,163.63
2017,Bodega Bay,Salmon,30,98,680662.196,94230.05
2017,Bodega Bay,Tuna,35,5,20681.95,11741
2018,Bodega Bay,CA halibut/croaker,55,10,45386.02,6829.89
2018,Bodega Bay,Coastal pelagics,45,5,391.0504,216.3
2018,Bodega Bay,Crab,25,54,3807693.287,902294.43
2018,Bodega Bay,DTS groundfish,1,20,86503.105,29126.44
2018,Bodega Bay,Non-DTS groundfish,3,12,3524.79,1253.61
2018,Bodega Bay,Other,80,5,24079.055,26681.07
2018,Bodega Bay,Salmon,30,179,3417875.3842,573640.46
2018,Bodega Bay,Tuna,35,7,20779.5756,14228.56
2019,Bodega Bay,CA halibut/croaker,55,14,24704.882,3603.03
2019,Bodega Bay,Coastal pelagics,45,4,668,278
2019,Bodega Bay,Crab,25,58,6526744.479,1913617.71
2019,Bodega Bay,DTS groundfish,1,18,68344.68,18560.05
2019,Bodega Bay,Non-DTS groundfish,3,12,4046.94,1507.79
2019,Bodega Bay,Other,80,4,3084.805,453.8
2019,Bodega Bay,Salmon,30,200,4423777.636964795,665035.81
2019,Bodega Bay,Tuna,35,8,22105.575,7156.3
2020,Bodega Bay,CA halibut/croaker,55,15,46568.4525,6896.63
2020,Bodega Bay,Coastal pelagics,45,4,570.5,226
2020,Bodega Bay,Crab,25,47,3548788.555,612085.01
2020,Bodega Bay,DTS groundfish,1,16,104247.315,28228.31
