metier.cm,pcgroup,year,Node Strength,Importance,Scaled Node Strength,Long-term Mean Node Strength,5-Year Mean Node Strength,Scaled Importance,Long-term Mean Importance,5-Year Mean Importance,Revenue,5-Year Mean Revenue,Landed Weight,5-Year Mean Landed Weight,Scaled Revenue,Long-term Mean Revenue,5-Year Mean Scaled Revenue,Scaled Landed Weight,Long-term Mean Landed Weight,5-Year Mean Scaled Landed Weight,Edge Density,Scaled Edge Density,Long-term Mean Edge Density,5-Year Mean Edge Density,CSVI
Salmon,Puget Sound,2020,0.030764454,0.04234014,-1.560347043,0.161287539,0.10077241,-1.017234537,0.293040059,0.164868777,1019726.9,2441630.499,850768,2155495.2,-1.238396351,4904950.099,-0.785171365,-1.090375354,6503176.5,-0.838687533,0.305555556,0.123279979,0.300190985,0.26994228,-0.678731792
Salmon,North WA Coast,2020,0.303011972,0.012342174,-1.601614396,0.623324651,0.546844282,-2.814496029,0.861199278,0.792552603,329907.65,517258.4246,50816,99538,-1.272085459,756274.414,-0.713115539,-1.184050537,232386.375,-0.866326292,0.333333333,-0.391287439,0.371335201,0.329206349,1.301805801
Salmon,WA Coast,2020,0.080966479,0.122952,-0.931708852,0.110231019,0.120535653,-0.66159019,0.168264202,0.150251388,2517266.149,1966315.817,738075,475733.4,-0.240915209,2767700.826,-0.770922938,-0.657564306,1164880.875,-1.061744478,0.642857143,-0.892367087,0.705742297,0.657142857,0.027743506
Whiting,WA Coast,2020,0.124514999,0.225416253,0.238071448,0.10637413,0.164827125,0.120380251,0.199657784,0.346836249,6522599.965,6940779.532,95033843.93,98597594.95,0.590948487,5439051.986,0.819016452,1.057398227,66108734.73,1.18767618,0.642857143,-0.892367087,0.705742297,0.657142857,0.027743506
Salmon,Astoria,2020,0.0021092,1.41E-04,-1.456497335,0.024192075,0.015435174,-1.003191125,0.01329581,0.005645408,54807.73571,74884.92728,7643,11858.2,-0.883382694,341272.0972,-0.82146978,-1.000931012,69323.25,-0.932527846,0.666666667,-0.069084252,0.673529412,0.725714286,0.276520707
Whiting,Astoria,2020,0.699799916,0.998169017,2.729234206,0.210206896,0.4188692,2.269887142,0.378283571,0.72648128,19878530.11,14827430.3,118854586,124012492.8,1.977578892,8086784.095,1.130465295,1.113855154,75282157.06,1.245708282,0.666666667,-0.069084252,0.673529412,0.725714286,0.276520707
Salmon,Tillamook,2020,0.032680815,0.114849381,-1.372939003,0.334292001,0.096734919,-1.194047549,0.530581359,0.169083916,161796.5,115597.47,16406,13880.4,-0.491887991,288609.1803,-0.671087327,-0.651753217,56615.6875,-0.692690315,0.6,-0.187477576,0.625770308,0.586666667,0.97949802
Salmon,Columbia River,2020,NA,1,NA,1,NA,0,1,1,2610757.614,1853154.313,1029471,572770.8,0.111403333,2513058.277,-0.752466729,-0.1368924,1107504.688,-0.938069279,0,0,1,0,-0.434262282
Salmon,Newport,2020,0.061574646,0.106203518,-0.647080355,0.095965746,0.057322456,-0.411937075,0.143728652,0.087714005,1386993.754,1234023.205,149548,157751.2,-0.17005871,1613528.286,-0.284893186,-0.462144865,288738.9375,-0.434908417,0.714285714,-0.080990915,0.724929972,0.804761905,1.172856098
Whiting,Newport,2020,0.26540798,0.128596413,1.652001574,0.163100933,0.161303191,-1.083314552,0.261164157,0.17879108,6738154.696,7100972.306,65382988,78609460.4,0.2723423,5982605.962,0.403122193,-0.001674722,65421784.31,0.569272962,0.714285714,-0.080990915,0.724929972,0.804761905,1.172856098
Salmon,Coos Bay,2020,0.043199298,0.036520185,-0.709424527,0.097261989,0.033006308,-0.949604531,0.141917761,0.049082173,404401.755,396759.1649,38830,49473.6,-0.590650617,1419211.619,-0.59509884,-0.634727154,268740.75,-0.605342786,0.777777778,0.076749325,0.765546218,0.716666667,0.762502767
Salmon,Brookings,2020,0.090822755,0.096666612,-0.561927881,0.143397834,0.065627102,-0.795659232,0.257415668,0.110243301,245799.0343,282048.3482,21546,30822.6,-0.481210983,469124.7663,-0.403102796,-0.65962996,79925.75,-0.554814107,0.866666667,0.465685463,0.794677871,0.748571429,1.417625741
Salmon,Crescent City,2020,0.027392215,0.025615858,-0.707106781,0.064750651,NA,-0.707106781,0.08543817,0,135832,150199.2285,25901,22531.942,0.497962371,83391.6307,0.634390456,0.739920572,14660.58286,0.518146301,0.733333333,0.368936805,0.668627451,0.626666667,1.445254374
Salmon,Eureka,2020,0.106122033,0.063523617,-0.600802337,0.178273231,0.216164629,-0.810246214,0.278319282,0.364833003,257811.4131,156207.5245,42277.3,22628.19,-0.091831804,292877.0475,-0.357917633,-0.176210392,54237.4575,-0.465703016,0.619047619,-0.568277316,0.698926237,0.64968254,0.409671276
Salmon,Morro Bay,2020,0.601478896,0.99867077,1.538034093,0.275304046,0.378354581,1.446993993,0.482316658,0.695773708,447410.31,710661.3376,40833.04,90164.782,-0.005353186,450812.4349,0.40886785,-0.257790454,65060.87429,0.267112103,0.571428571,0.058216125,0.565312792,0.486666667,-0.264627834
