IOPAC,PACFIN_PORT_CODE,Pacfin Port Name,Pacfin Port Description,Agency Name,PACFIN_LAT,PACFIN_LONG,Map_order
Puget Sound,BLN,BLAINE,BLAINE,WDFW,48.98719,-122.74877,1
Puget Sound,ONP,O N PUGET,OTHER NORTH PUGET SOUND PORTS,WDFW,48.984669,-123.059496,2
Puget Sound,BLL,BELLINGHAM,BELLINGHAM BAY,WDFW,48.788096,-122.555162,3
Puget Sound,FRI,FRIDAY H.,FRIDAY HARBOR,WDFW,48.533947,-123.018995,4
Puget Sound,ANA,ANACORTES,ANACORTES,WDFW,48.488725,-122.62398,5
Puget Sound,LAC,LA CONNER,LA CONNER,WDFW,48.392564,-122.494453,6
North WA Coast,NEA,NEAH BAY,NEAH BAY,WDFW,48.360976,-124.611544,7
WA Coast,OCR,O COL WA,OTHER COLUMBIA RIVER PORTS,WDFW,48.218795,-122.679466,8
North WA Coast,TNS,TOWNSEND,PORT TOWNSEND,WDFW,48.121762,-122.787876,9
North WA Coast,PAG,PT ANGELES,PORT ANGELES,WDFW,48.119236,-123.448013,10
North WA Coast,SEQ,SEQUIM,SEQUIM,WDFW,48.073679,-123.087802,11
Puget Sound,EVR,EVERETT,EVERETT,WDFW,47.956452,-122.191349,12
North WA Coast,LAP,LA PUSH,LA PUSH,WDFW,47.9063301,-124.6215221,13
Puget Sound,OSP,O S PUGET,OTHER SOUTH PUGET SOUND PORTS,WDFW,47.668614,-122.9166,14
Puget Sound,SPS,S PUGET S,SOUTH PUGET SOUND PORTS,WDFW,47.668614,-122.9166,15
Puget Sound,SEA,SEATTLE,SEATTLE,WDFW,47.619349,-122.351471,16
Other Coastal Washington,OWC,O WA COAST,OTHER WASHINGTON COASTAL PORTS,WDFW,47.526341,-124.344762,17
Puget Sound,TAC,TACOMA,TACOMA,WDFW,47.252199,-122.459832,18
Puget Sound,SHL,SHELTON,SHELTON,WDFW,47.218912,-123.11119,19
WA Coast,CPL,COPALIS,COPALIS BEACH,WDFW,47.124571,-124.166453,20
Puget Sound,OLY,OLYMPIA,OLYMPIA,WDFW,47.040604,-122.895,21
WA Coast,GRH,GRAYS HRBR,GRAYS HARBOR,WDFW,46.977202,-123.909716,22
WA Coast,WPT,WESTPORT,WESTPORT,WDFW,46.891815,-124.119847,23
WA Coast,WLB,WILLAPA,WILLAPA BAY,WDFW,46.683742,-123.735259,24
WA Coast,LWC,ILWCO/CHNK,ILWACO/CHINOOK,WDFW,46.312687,-124.026732,25
Astoria,AST,ASTORIA,ASTORIA,ODFW,46.187375,-123.815073,26
Astoria,GSS,GEARHART,GEARHART - SEASIDE,ODFW,46.031719,-123.918479,27
Astoria,CNB,CANNON BCH,CANNON BEACH,ODFW,45.888,-123.960133,28
Tillamook,NHL,NEHALEM,NEHALEM BAY,ODFW,45.719528,-123.894023,29
Columbia River,CRV,COL RIVER,PSUEDO PORT CODE FOR COLUMBIA RIVER,ODFW,45.637156,-122.596567,30
Tillamook,SRV,SAMN RIVER,SALMON RIVER,ODFW,45.560783,-123.91135,31
Tillamook,TLA,TILLAMOOK,TILLAMOOK AREA PORTS,ODFW,45.560783,-123.91135,32
Tillamook,TLL,TLMK/GRBLD,TILLAMOOK/GARIBALDI,ODFW,45.456123,-123.833145,33
Tillamook,NTR,NETARTS,NETARTS BAY,ODFW,45.435624,-123.934386,34
Tillamook,PCC,PACIFIC,PACIFIC CITY,ODFW,45.205273,-123.954237,35
Newport,DPO,DEPOE BAY,DEPOE BAY,ODFW,44.809106,-124.059688,36
Newport,SLZ,SILETZ,SILETZ BAY,ODFW,44.721835,-123.918677,37
Newport,NEW,NEWPORT,NEWPORT,ODFW,44.620869,-124.043041,38
Newport,NPA,NEWPORT,NEWPORT AREA PORTS,ODFW,44.620869,-124.043041,39
Newport,WLD,WALDPORT,WALDPORT,ODFW,44.418366,-124.066234,40
Newport,YAC,YACHATS,YACHATS,ODFW,44.311758,-124.101392,41
Coos Bay,FLR,FLORENCE,FLORENCE,ODFW,43.991632,-124.106456,42
Coos Bay,WIN,WINCHESTER,WINCHESTER BAY,ODFW,43.669982,-124.186938,43
Coos Bay,CBA,COOS BAY,COOS BAY AREA PORTS,ODFW,43.381126,-124.232597,44
Coos Bay,COS,COOS BAY,Charleston (Coos Bay),ODFW,43.381126,-124.232597,45
Coos Bay,BDN,BANDON,BANDON,ODFW,43.11469,-124.41552,46
