SPID,PACFIN_SPECIES_COMMON_NAME,SPGRPN2
DOVR,DOVER SOLE,1
THDS,THORNYHEADS (MIXED),1
LSPN,LONGSPINE THORNYHEAD,1
LSP1,NOM. LONGSPINE THORNYHEAD,1
DVR1,NOM. DOVER SOLE,1
LCD1,NOM. LINGCOD,1
SSP1,NOM. SHORTSPINE THORNYHEAD,1
SSPN,SHORTSPINE THORNYHEAD,1
SABL,SABLEFISH,1
PWHT,PACIFIC WHITING,2
CML1,NOM. CHAMELEON ROCKFISH,3
PGMY,PYGMY ROCKFISH,3
PUGT,PUGET SOUND ROCKFISH,3
PTRL,PETRALE SOLE,3
PTR1,NOM. PETRALE SOLE,3
CNR1,NOM. CANARY ROCKFISH,3
CSOL,CURLFIN SOLE,3
PRR1,NOM. PINKROSE ROCKFISH,3
CNRY,CANARY ROCKFISH,3
POP1,GEN. SHELF/SLOPE RF,3
PRRK,PINKROSE ROCKFISH,3
CMEL,CHAMELEON ROCKFISH,3
PNK1,NOM. PINK ROCKFISH,3
RBR1,NOM. ROUGHEYE + BLACKSPOTTED,3
PNKR,PINK ROCKFISH,3
POP,PACIFIC OCEAN PERCH,3
COP1,NOM. COPPER ROCKFISH,3
COPP,COPPER ROCKFISH,3
POP2,NOM. POP,3
PLCK,WALLEYE POLLOCK,3
RCK9,BLACK+BLUE ROCKFISH,3
RSL1,NOM. ROCK SOLE,3
ROSY,ROSY ROCKFISH,3
ROS1,NOM. ROSY ROCKFISH,3
CLCO,CALICO ROCKFISH,3
RGL1,NOM. ROCK GREENLING,3
REY1,NOM. ROUGHEYE ROCKFISH,3
REX,REX SOLE,3
REDS,REDSTRIPE ROCKFISH,3
RDBD,REDBANDED ROCKFISH,3
RDB1,NOM. REDBANDED ROCKFISH,3
QLBK,QUILLBACK ROCKFISH,3
RCKG,ROCK GREENLING,3
QLB1,NOM. QUILLBACK ROCKFISH,3
RCK8,CANARY+VERMILION RCKFSH,3
RCK7,UNSP. GOPHER ROCKFISH,3
RCK6,UNSP. ROSEFISH RCKFSH,3
RCK5,UNSP. SMALL REDS RCKFSH,3
