SPGRPN2,species_group_2_label,species_group_2_label2
1,DTS Groundfish,DTS groundfish
2,WHITING,Whiting
3,Non DTS Groundfish,Non-DTS groundfish
19,"SKATE,DOGFISH,SHARK",Skate/dogfish/shark
20,"PRAWNS,SHRIMP",Prawns/shrimp
21,PINK SHRIMP,Pink shrimp
25,WOC_CRAB,Crab
30,SALMON,Salmon
35,TUNA,Tuna
40,HERRING,Herring
45,CPEL,Coastal pelagics
50,PHALIBUT,Pacific halibut
55,"CHALIBUT,CROAKER",CA halibut/croaker
60,ECHINODERMS,Echinoderms
65,SHELLFISH,Shellfish
70,SQUID,Squid
80,OTHER,Other
100,OTHR,OTHR
110,PCOD,PCOD
118,FLAT,FLAT
139,ROCK,ROCK
193,AMCK,AMCK
200,HLBT,HLBT
230,HERR,HERR
270,PLCK,PLCK
400,SALM,SALM
710,SABL,SABL
800,OSPC,OSPC
815,SHEL,SHEL
900,CRAB,CRAB
