"year","index","metric","timeseries"
2004,0.333463741721094,"Salmon Node Strength","Puget Sound"
2004,0.784700326398962,"Salmon Importance","Puget Sound"
2004,0.930484904653907,"Salmon Node Strength","North WA Coast"
2004,0.997220950664875,"Salmon Importance","North WA Coast"
2004,0.398085073345775,"Salmon Node Strength","WA Coast"
2004,0.693765377000147,"Salmon Importance","WA Coast"
2004,0.566609789409571,"Non-DTS groundfish Node Strength","Astoria"
2004,1,"Non-DTS groundfish Importance","Astoria"
2004,0.122100017891938,"Salmon Node Strength","Astoria"
2004,0.0538453001268959,"Salmon Importance","Astoria"
2004,0.767642858408082,"Salmon Node Strength","Tillamook"
2004,1,"Salmon Importance","Tillamook"
2004,0.287266327151825,"Non-DTS groundfish Node Strength","Tillamook"
2004,0.241010850936185,"Non-DTS groundfish Importance","Tillamook"
2004,0.432506001854888,"Salmon Node Strength","Newport"
2004,0.723549849252661,"Salmon Importance","Newport"
2004,0.812608646216778,"Salmon Node Strength","Coos Bay"
2004,0.997185436099567,"Salmon Importance","Coos Bay"
2004,0.283215022958239,"Salmon Node Strength","Brookings"
2004,0.341781270315598,"Salmon Importance","Brookings"
2004,0.594733484499415,"Non-DTS groundfish Node Strength","Brookings"
2004,0.974033984892193,"Non-DTS groundfish Importance","Brookings"
2004,0.751481318461496,"Non-DTS groundfish Node Strength","Crescent City"
2004,0.999979377735416,"Non-DTS groundfish Importance","Crescent City"
2004,0.173699781357669,"Salmon Node Strength","Crescent City"
2004,0.0203393796537522,"Salmon Importance","Crescent City"
2004,0.0823850520948513,"Salmon Node Strength","Eureka"
2004,0.0537929697504019,"Salmon Importance","Eureka"
2004,0.601089772752941,"Non-DTS groundfish Node Strength","Eureka"
2004,0.923404299416434,"Non-DTS groundfish Importance","Eureka"
2004,0.875077822476835,"Non-DTS groundfish Node Strength","Morro Bay"
2004,1,"Non-DTS groundfish Importance","Morro Bay"
2004,0.184467598035131,"Salmon Node Strength","Morro Bay"
2004,0.0877843886586189,"Salmon Importance","Morro Bay"
