year,metier,gear,metier.cm,node_strength,eigen,btwn,btwn_inverted,basic_btwn,deg_norm,pcgroup
2004,30,NA,Salmon,0.087968924,0.038594361,0.155555556,0.155555556,0,0.3,Puget Sound
2004,25,NA,Crab,0.401637198,0.270241545,0.466666667,0.466666667,0.422222222,0.8,Puget Sound
2004,35,NA,Tuna,0.006201821,0.008508367,0,0,0.155555556,0.3,Puget Sound
2004,19,NA,Skate/dogfish/shark,0.075882136,0.142457627,0,0,0.244444444,0.4,Puget Sound
2004,20,NA,Prawns/shrimp,0.183383612,0.090704787,0,0,0.022222222,0.3,Puget Sound
2004,60,NA,Echinoderms,0.011407765,0.005575583,0,0,0.133333333,0.2,Puget Sound
2004,50,NA,Pacific halibut,0.593293605,1,0.377777778,0.377777778,0,0.4,Puget Sound
2004,1,NA,DTS groundfish,0.616105223,0.997751364,0.155555556,0.155555556,0,0.4,Puget Sound
2004,21,NA,Pink shrimp,0.024119714,0.006154066,0,0,0,0.3,Puget Sound
2004,45,NA,Coastal pelagics,0,0.00531815,0,0,0,0,Puget Sound
2004,40,NA,Herring,0,0.00531815,0,0,0,0,Puget Sound
2004,3,NA,Non-DTS groundfish,0.610126393,0.908078643,0,0,0.4,0.666666667,North WA Coast
2004,30,NA,Salmon,0.115802282,0.154418868,0,0,0,0.666666667,North WA Coast
2004,25,NA,Crab,0.295779466,0.397933061,0.466666667,0.466666667,0.266666667,0.833333333,North WA Coast
2004,1,NA,DTS groundfish,0.96499075,1,0.466666667,0.466666667,0,0.666666667,North WA Coast
2004,20,NA,Prawns/shrimp,0.007188645,0.004268477,0,0,0,0.166666667,North WA Coast
2004,35,NA,Tuna,0.006112464,0.005058674,0,0,0.466666667,0.666666667,North WA Coast
2004,60,NA,Echinoderms,0,9.50244012366183e-05,0,0,0,0,North WA Coast
2004,30,NA,Salmon,0.097791769,0.123243174,0.285714286,0.285714286,0,0.714285714,WA Coast
2004,35,NA,Tuna,0.456931589,0.848050668,0,0,0.571428571,0.857142857,WA Coast
2004,25,NA,Crab,0.942201046,1,0.952380952,0.952380952,0,1,WA Coast
2004,1,NA,DTS groundfish,0.181394386,0.341313296,0,0,0.095238095,0.714285714,WA Coast
2004,80,NA,Other,0.030788319,0.007951606,0,0,0.476190476,0.714285714,WA Coast
2004,45,NA,Coastal pelagics,0.027703385,0.053232993,0,0,0.476190476,0.428571429,WA Coast
2004,21,NA,Pink shrimp,0.199798368,0.38552391,0,0,0,0.428571429,WA Coast
2004,2,NA,Whiting,0.063391137,0.120600339,0,0,0.285714286,0.571428571,WA Coast
2004,30,NA,Salmon,NaN,1,NA,NA,NaN,NaN,Other Coastal Washington
2004,1,NA,DTS groundfish,0.624591747,1,0.464285714,0.464285714,0,0.875,Astoria
2004,25,NA,Crab,0.431639802,0.483814472,0.75,0.75,0.25,1,Astoria
2004,3,NA,Non-DTS groundfish,0.484424481,0.946713946,0,0,0.535714286,0.75,Astoria
2004,50,NA,Pacific halibut,0.045287405,0.088847905,0,0,0.571428571,0.625,Astoria
2004,35,NA,Tuna,0.089079345,0.082003634,0.25,0.25,0.428571429,0.75,Astoria
2004,30,NA,Salmon,0.034047524,0.014686795,0,0,0.25,0.5,Astoria
2004,45,NA,Coastal pelagics,0.077136779,0.084401481,0,0,0,0.125,Astoria
2004,21,NA,Pink shrimp,0.130349396,0.198736334,0,0,0.25,0.625,Astoria
2004,2,NA,Whiting,0.083443521,0.151470522,0,0,0,0.5,Astoria
2004,30,NA,Salmon,0.584553856,0.833651234,0,0,0.4,0.833333333,Tillamook
2004,3,NA,Non-DTS groundfish,0.103481778,0.133374462,0.266666667,0.266666667,0,0.5,Tillamook
2004,25,NA,Crab,0.832936594,1,0.466666667,0.466666667,0,0.833333333,Tillamook
2004,1,NA,DTS groundfish,0.025376259,0.017548218,0,0,0.266666667,0.5,Tillamook
2004,35,NA,Tuna,0.445557112,0.704461687,0,0,0,0.333333333,Tillamook
2004,65,NA,Shellfish,0.008094402,0.012288656,0,0,0.133333333,0.333333333,Tillamook
2004,21,NA,Pink shrimp,0,0.060392863,0,0,0,0,Tillamook
2004,30,NA,Salmon,1,1,NaN,NaN,NaN,1,Columbia River
2004,80,NA,Other,1,1,NaN,NaN,NaN,1,Columbia River
2004,35,NA,Tuna,0.174951248,0.289659916,0,0,0.2,0.666666667,Newport
2004,21,NA,Pink shrimp,0.237474129,0.560367602,0,0,0.333333333,0.5,Newport
2004,25,NA,Crab,0.826681088,1,0.6,0.6,0,0.833333333,Newport
2004,30,NA,Salmon,0.217883224,0.378535044,0,0,0.333333333,0.666666667,Newport
2004,1,NA,DTS groundfish,0.323704539,0.648079218,0,0,0.2,0.666666667,Newport
2004,60,NA,Echinoderms,0,0.001264768,0,0,0,0,Newport
2004,2,NA,Whiting,0.219305773,0.452761718,0,0,0,0.333333333,Newport
2004,30,NA,Salmon,0.270564669,0.326459324,0.266666667,0.266666667,0,0.5,Coos Bay
2004,21,NA,Pink shrimp,0.254754647,0.517458216,0,0,0,0.5,Coos Bay
2004,25,NA,Crab,0.702917098,1,0.533333333,0.533333333,0.266666667,0.833333333,Coos Bay
2004,35,NA,Tuna,0.156796264,0.138109043,0,0,0.533333333,0.666666667,Coos Bay
2004,1,NA,DTS groundfish,0.546288044,0.965666016,0,0,0.266666667,0.666666667,Coos Bay
2004,2,NA,Whiting,0.068679278,0.143270088,0,0,0,0.166666667,Coos Bay
2004,60,NA,Echinoderms,0,0.083217675,0,0,0,0,Coos Bay
2004,30,NA,Salmon,0.232496816,0.390754089,0,0,0.1,0.6,Brookings
2004,1,NA,DTS groundfish,0.6069837,0.920073167,0,0,0,0.8,Brookings
2004,21,NA,Pink shrimp,0.125551743,0.205340324,0,0,0.3,0.6,Brookings
2004,3,NA,Non-DTS groundfish,0.206703427,0.326451205,0,0,0.2,0.8,Brookings
2004,25,NA,Crab,0.828264315,1,0.5,0.5,0,0.8,Brookings
2004,60,NA,Echinoderms,0,0.020537782,0,0,0,0,Brookings
2004,25,NA,Crab,0.992066164,1,1,1,0,1,Crescent City
2004,3,NA,Non-DTS groundfish,0.484660966,0.68354583,0,0,1,1,Crescent City
2004,20,NA,Prawns/shrimp,0.52327287,0.737629581,0,0,0,1,Crescent City
2004,1,NA,DTS groundfish,0.760626514,0.980566125,0.7,0.7,0.7,1,Eureka
2004,25,NA,Crab,0.873521657,1,0.4,0.4,0.1,0.8,Eureka
2004,35,NA,Tuna,0.145035077,0.216789242,0,0,0,0.4,Eureka
2004,21,NA,Pink shrimp,0.091121021,0.134902426,0,0,0.3,0.4,Eureka
2004,2,NA,Whiting,0.129395741,0.191279929,0,0,0,0.4,Eureka
2004,55,NA,CA halibut/croaker,0.000299989,0.00043988,0,0,0,0.2,Eureka
2004,3,NA,Non-DTS groundfish,0.550143224,0.933695285,0.333333333,0.333333333,0.733333333,1,Morro Bay
