"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","state"
2004,3,3,2282902.77257835,1764242.02270259,1890669.30263265,4210251.61026317,0.333333333333333,0.257602155158807,0.276062173320577,1,1,0.666666666666667,NA,1,1,2,0,0.504330074689952,0,0,3646320.41438811,"C"
2004,3,3,2279343.89453512,1678728.76089112,2758059.09107436,3666717.396692,0.333333333333333,0.245498827523129,0.403341080984898,1,1,0.666666666666667,NA,1,1,2,0,0.614021660960267,0,-4.44089209850063e-16,3515721.72211949,"O"
2004,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2005,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2005,3,3,2408643.58680008,1581107.31696849,3165917.51101408,3468687.44424635,0.333333333333333,0.218810194754885,0.438132832432333,1,1,0.666666666666667,NA,1,1,2,0,0.565873815335188,0,-4.44089209850063e-16,3446530.78666283,"O"
2005,3,3,1843684.87504806,1414441.94371308,1665645.53210063,3338717.52882562,0.333333333333333,0.255727350310921,0.301144292542077,1,1,0.666666666666667,NA,1,1,2,0,0.535745016130731,-0.333333333333333,-0.366031572181856,2928819.34635118,"W"
2006,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"C"
2006,3,3,1688328.26751016,1056255.71093362,1870293.71014505,2641779.63226273,0.333333333333333,0.208540746342597,0.36925949100788,1,1,0.666666666666667,NA,1,1,2,0,0.504382128717435,-0.333333333333333,-0.355077954775897,2349145.33037034,"O"
2006,3,3,1614990.55658036,1273013.68486024,1787432.45506209,2792993.35556505,0.333333333333333,0.262749458951587,0.368925264563541,1,1,0.666666666666667,NA,1,1,2,0,0.627145167489039,0,4.44089209850063e-16,2618441.52738534,"W"
2007,3,3,1726970.8644703,1221125.95904978,1246045.52872047,3115336.71813255,0.333333333333333,0.23569707788601,0.240506958234577,1,1,0.666666666666667,NA,1,1,2,0,0.394089096947825,-0.333333333333333,-0.361109889595335,2590418.32530666,"C"
2007,4,6,1377621.00532611,991643.723475337,1137801.03862875,3165898.66629329,0.166666666666667,0.119970553057467,0.137652885448879,1,1,0.5,NA,1,1.5,3,0,0.321025383080781,-0.25,-0.282668368480535,2091429.28097392,"O"
2007,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,-0.5,-0.5,NA,"W"
2008,3,3,2109753.88237674,1418758.34838727,2708718.55891882,3130804.10270078,0.333333333333333,0.224158587128493,0.427967543441184,1,1,0.666666666666667,NA,1,1,2,0,0.575901854144631,-0.333333333333333,-0.358456869425054,3063834.48293047,"C"
2008,3,3,2037734.91354035,1612385.1392301,1172372.20239368,3898052.90734756,0.333333333333333,0.263754480283658,0.191777022386229,1,1,0.666666666666667,NA,1,1,2,0,0.36619898743303,0,0,3313556.32678453,"O"
2008,3,3,1908096.20396118,1564495.06674019,1438842.05028047,3653516.19126096,0.333333333333333,0.273308208725241,0.251357355967945,1,1,0.666666666666667,NA,1,1,2,0,0.501612221242995,0,0,3190864.2367119,"W"
2009,3,3,4015830.39502952,3422400.97738182,2876013.90114554,7862694.88522324,0.333333333333333,0.2840758233231,0.238723055029519,1,1,0.666666666666667,NA,1,1,2,0,0.505570653517948,0,0,6932494.52120408,"C"
2009,3,3,2630170.35404595,2127146.23982078,2270079.55966559,4914378.7892243,0.333333333333333,0.269582822084588,0.287697405375735,1,1,0.666666666666667,NA,1,1,2,0,0.548667210235493,-0.333333333333333,-0.369670782314879,4350496.61299847,"O"
2009,3,3,2499486.95107581,1519796.41813618,3297048.46165628,3454479.76629505,0.333333333333333,0.202681116549677,0.439696695920896,1,1,0.666666666666667,NA,1,1,2,0,0.52587421742052,0,0,3423589.05594393,"W"
2010,2,1,NA,NA,NA,0,NA,NA,NA,1,1,1,NA,1,0.5,1,NA,NA,0,0,NA,"C"
2010,5,10,1715273.44907689,1264454.66948325,1010129.80958316,3862910.02257447,0.1,0.0737173813402025,0.0588903075557299,1,1,0.4,NA,1,2,4,0,0.337096705493344,-0.2,-0.235547906946552,2647396.31965386,"O"
2010,3,3,3529699.37778562,2757442.2824053,3630624.86796408,6235293.3220391,0.333333333333333,0.260403884039855,0.342864408492656,1,1,0.666666666666667,NA,1,1,2,0,0.596336784110062,-0.333333333333333,-0.367238424744854,5683845.41884781,"W"
