"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","state"
2004,13,61,182423.464791403,500224.819565042,27646.1153654095,2903999.59933234,0.0163934426229508,0.0449525881305479,0.00248441178610746,1,0.333333333333333,0.153846153846154,-0.398436111604756,0.782051282051282,4.69230769230769,9.38461538461539,0.257575757575758,0.234451708956013,-0.00604676162321949,0.322866740331198,1554093.88227309,"C"
2004,10,26,512196.460123026,771542.33633649,129725.024953653,3157700.68050177,0.0384615384615385,0.0579361779200573,0.00974123100241755,0.888888888888889,0.111111111111111,0.2,-0.00062073246430791,0.577777777777778,2.6,5.2,0.388888888888889,0.340987393524265,0.022189349112426,0.0676013300912701,1674402.02596506,"O"
2004,12,33,145601.144492785,288027.940214665,14388.1665317377,1365863.80699752,0.0303030303030303,0.0599454038005649,0.00299451661547825,0.909090909090909,0,0.166666666666667,-0.304739884393066,0.5,2.75,5.5,0.490909090909091,0.373415430702714,-0.102387511478421,-0.220255876167509,715377.533499216,"W"
2005,13,58,205282.16220419,703884.554769314,25863.9078545977,5051828.79236984,0.0172413793103448,0.0591183396996742,0.00217227566672533,1,0.333333333333333,0.153846153846154,-0.249831649831657,0.743589743589744,4.46153846153846,8.92307692307692,0.303030303030303,0.178896473191134,-0.00847205707491083,0.477890122187243,2618806.36286015,"C"
2005,9,20,583590.407082438,819250.258902728,330644.242510719,3322356.09482769,0.05,0.0701905179523453,0.0283284507848338,0.875,0,0.222222222222222,-0.434108527131778,0.555555555555556,2.22222222222222,4.44444444444444,0.410714285714286,0.292036059484332,-0.03875,0.0417765807080628,1733662.40718195,"O"
2005,12,33,162135.84005235,290013.923690812,32835.5124470449,1112584.08679591,0.0303030303030303,0.0542033193590375,0.00613692523736307,0.909090909090909,0.0909090909090909,0.166666666666667,-0.23452198643623,0.5,2.75,5.5,0.490909090909091,0.3346057634126,0.0179063360881544,0.000397494331565956,680886.51175691,"W"
2006,14,66,167489.029992543,487429.171463278,35661.9711899702,3079366.46324818,0.0151515151515152,0.0440941742694739,0.00322607932496706,1,0.307692307692308,0.142857142857143,-0.346718462482109,0.725274725274725,4.71428571428571,9.42857142857143,0.320512820512821,0.165169705393478,0.0247933884297519,0.3955629032339,1586012.96080733,"C"
2006,12,37,324787.299212907,600708.522726328,48157.3636798142,2572779.70897866,0.027027027027027,0.0499876858437349,0.00400739306271796,0.909090909090909,0.0909090909090909,0.166666666666667,-0.296701554075485,0.560606060606061,3.08333333333333,6.16666666666667,0.418181818181818,0.27455665563356,-0.00693937180423662,0.0562605434343356,1435824.36916772,"O"
2006,11,30,162803.486091282,274093.745180522,38388.0662176955,1061580.22689057,0.0333333333333333,0.0561195487396464,0.00785979611357373,0.8,0,0.181818181818182,-0.343669250645996,0.545454545454545,2.72727272727273,5.45454545454545,0.311111111111111,0.28061888399643,0,6.66133814775094e-16,624264.004847999,"W"
2007,14,62,194025.678429112,717127.451309479,36689.2200480481,5463233.96248927,0.0161290322580645,0.0596136134606536,0.00304991390041394,0.923076923076923,0.307692307692308,0.142857142857143,-0.324750034241887,0.681318681318681,4.42857142857143,8.85714285714286,0.282051282051282,0.201071660554763,-0.0123569198751301,0.487767640401392,2844560.3168611,"C"
