"Port Group","Year","Edge Density","dataset"
"Puget Sound",2004,0.272727272727273,"Network_Stats"
"North WA Coast",2004,0.523809523809524,"Network_Stats"
"WA Coast",2004,0.785714285714286,"Network_Stats"
"Other Coastal Washington",2004,NA,"Network_Stats"
"Astoria",2004,0.638888888888889,"Network_Stats"
"Tillamook",2004,0.533333333333333,"Network_Stats"
"Columbia River",2004,1,"Network_Stats"
"Newport",2004,0.464285714285714,"Network_Stats"
"Coos Bay",2004,0.476190476190476,"Network_Stats"
"Brookings",2004,0.6,"Network_Stats"
"Crescent City",2004,1,"Network_Stats"
"Eureka",2004,0.533333333333333,"Network_Stats"
"Morro Bay",2004,0.428571428571429,"Network_Stats"
"Fort Bragg",2004,0.9,"Network_Stats"
"Bodega Bay",2004,0.285714285714286,"Network_Stats"
"San Francisco",2004,0.472222222222222,"Network_Stats"
"San Diego",2004,0.619047619047619,"Network_Stats"
"Monterey",2004,0.555555555555556,"Network_Stats"
"Santa Barbara",2004,0.714285714285714,"Network_Stats"
"Los Angeles",2004,0.733333333333333,"Network_Stats"
"Unknown Ports",2004,NA,"Network_Stats"
"Puget Sound",2005,0.277777777777778,"Network_Stats"
"North WA Coast",2005,0.380952380952381,"Network_Stats"
"WA Coast",2005,0.642857142857143,"Network_Stats"
"Other Coastal Washington",2005,NA,"Network_Stats"
"Astoria",2005,0.607142857142857,"Network_Stats"
"Tillamook",2005,0.8,"Network_Stats"
"Columbia River",2005,1,"Network_Stats"
"Newport",2005,0.8,"Network_Stats"
"Coos Bay",2005,0.761904761904762,"Network_Stats"
"Brookings",2005,1,"Network_Stats"
"Crescent City",2005,1,"Network_Stats"
"Eureka",2005,0.833333333333333,"Network_Stats"
"Morro Bay",2005,0.666666666666667,"Network_Stats"
"Fort Bragg",2005,0.761904761904762,"Network_Stats"
"Bodega Bay",2005,0.266666666666667,"Network_Stats"
"San Francisco",2005,0.555555555555556,"Network_Stats"
"San Diego",2005,0.533333333333333,"Network_Stats"
"Monterey",2005,0.644444444444444,"Network_Stats"
"Santa Barbara",2005,0.535714285714286,"Network_Stats"
"Los Angeles",2005,0.619047619047619,"Network_Stats"
"Unknown Ports",2005,NA,"Network_Stats"
"Puget Sound",2006,0.25,"Network_Stats"
"North WA Coast",2006,0.428571428571429,"Network_Stats"
"WA Coast",2006,0.809523809523809,"Network_Stats"
"Other Coastal Washington",2006,NA,"Network_Stats"
"Astoria",2006,0.571428571428571,"Network_Stats"
"Tillamook",2006,0.666666666666667,"Network_Stats"
"Columbia River",2006,1,"Network_Stats"
"Newport",2006,0.866666666666667,"Network_Stats"
"Coos Bay",2006,0.904761904761905,"Network_Stats"
"Brookings",2006,0.8,"Network_Stats"
"Crescent City",2006,0.666666666666667,"Network_Stats"
"Eureka",2006,0.933333333333333,"Network_Stats"
"Morro Bay",2006,0.8,"Network_Stats"
"Fort Bragg",2006,1,"Network_Stats"
"Bodega Bay",2006,0.4,"Network_Stats"
"San Francisco",2006,0.571428571428571,"Network_Stats"
"San Diego",2006,0.733333333333333,"Network_Stats"
"Monterey",2006,0.577777777777778,"Network_Stats"
"Santa Barbara",2006,0.857142857142857,"Network_Stats"
"Los Angeles",2006,0.666666666666667,"Network_Stats"
"Unknown Ports",2006,0,"Network_Stats"
"Puget Sound",2007,0.305555555555556,"Network_Stats"
"North WA Coast",2007,0.533333333333333,"Network_Stats"
"WA Coast",2007,0.857142857142857,"Network_Stats"
"Astoria",2007,0.666666666666667,"Network_Stats"
"Tillamook",2007,0.5,"Network_Stats"
"Columbia River",2007,1,"Network_Stats"
"Newport",2007,0.523809523809524,"Network_Stats"
"Coos Bay",2007,0.619047619047619,"Network_Stats"
"Brookings",2007,0.571428571428571,"Network_Stats"
"Crescent City",2007,0.666666666666667,"Network_Stats"
"Eureka",2007,0.666666666666667,"Network_Stats"
"Morro Bay",2007,0.733333333333333,"Network_Stats"
"Fort Bragg",2007,1,"Network_Stats"
"Bodega Bay",2007,0.466666666666667,"Network_Stats"
"San Francisco",2007,0.392857142857143,"Network_Stats"
"San Diego",2007,0.666666666666667,"Network_Stats"
"Monterey",2007,0.571428571428571,"Network_Stats"
"Santa Barbara",2007,0.785714285714286,"Network_Stats"
"Los Angeles",2007,0.6,"Network_Stats"
"Unknown Ports",2007,NA,"Network_Stats"
"Puget Sound",2008,0.166666666666667,"Network_Stats"
"North WA Coast",2008,0.266666666666667,"Network_Stats"
"WA Coast",2008,0.916666666666667,"Network_Stats"
"Astoria",2008,0.714285714285714,"Network_Stats"
"Tillamook",2008,0.4,"Network_Stats"
"Columbia River",2008,1,"Network_Stats"
"Newport",2008,0.9,"Network_Stats"
"Coos Bay",2008,1,"Network_Stats"
"Brookings",2008,0.6,"Network_Stats"
"Crescent City",2008,0.6,"Network_Stats"
"Eureka",2008,0.666666666666667,"Network_Stats"
"Morro Bay",2008,0.6,"Network_Stats"
"Fort Bragg",2008,0.833333333333333,"Network_Stats"
"Bodega Bay",2008,0.571428571428571,"Network_Stats"
"San Francisco",2008,0.583333333333333,"Network_Stats"
"San Diego",2008,0.714285714285714,"Network_Stats"
"Monterey",2008,0.583333333333333,"Network_Stats"
"Santa Barbara",2008,0.805555555555556,"Network_Stats"
"Los Angeles",2008,0.5,"Network_Stats"
"Unknown Ports",2008,NA,"Network_Stats"
"Puget Sound",2009,0.288888888888889,"Network_Stats"
"North WA Coast",2009,0.4,"Network_Stats"
"WA Coast",2009,0.714285714285714,"Network_Stats"
"Astoria",2009,0.571428571428571,"Network_Stats"
"Tillamook",2009,0.733333333333333,"Network_Stats"
"Columbia River",2009,NA,"Network_Stats"
"Newport",2009,0.733333333333333,"Network_Stats"
"Coos Bay",2009,0.866666666666667,"Network_Stats"
"Brookings",2009,1,"Network_Stats"
"Crescent City",2009,0.333333333333333,"Network_Stats"
"Eureka",2009,0.7,"Network_Stats"
"Morro Bay",2009,0.571428571428571,"Network_Stats"
"Fort Bragg",2009,0.8,"Network_Stats"
"Bodega Bay",2009,0.666666666666667,"Network_Stats"
"San Francisco",2009,0.8,"Network_Stats"
"San Diego",2009,0.523809523809524,"Network_Stats"
"Monterey",2009,0.642857142857143,"Network_Stats"
"Santa Barbara",2009,0.821428571428571,"Network_Stats"
"Los Angeles",2009,0.577777777777778,"Network_Stats"
"Unknown Ports",2009,NA,"Network_Stats"
"Puget Sound",2010,0.25,"Network_Stats"
"North WA Coast",2010,0.333333333333333,"Network_Stats"
"WA Coast",2010,0.733333333333333,"Network_Stats"
"Astoria",2010,0.666666666666667,"Network_Stats"
"Tillamook",2010,0.428571428571429,"Network_Stats"
"Columbia River",2010,NA,"Network_Stats"
"Newport",2010,0.714285714285714,"Network_Stats"
"Coos Bay",2010,0.619047619047619,"Network_Stats"
"Brookings",2010,0.8,"Network_Stats"
"Crescent City",2010,0.733333333333333,"Network_Stats"
"Eureka",2010,0.8,"Network_Stats"
"Morro Bay",2010,0.694444444444444,"Network_Stats"
"Fort Bragg",2010,1,"Network_Stats"
"Bodega Bay",2010,0.4,"Network_Stats"
"San Francisco",2010,0.733333333333333,"Network_Stats"
"San Diego",2010,0.428571428571429,"Network_Stats"
"Monterey",2010,0.622222222222222,"Network_Stats"
"Santa Barbara",2010,0.892857142857143,"Network_Stats"
"Los Angeles",2010,0.571428571428571,"Network_Stats"
"Unknown Ports",2010,0,"Network_Stats"
"Puget Sound",2011,0.25,"Network_Stats"
"North WA Coast",2011,0.3,"Network_Stats"
"WA Coast",2011,0.75,"Network_Stats"
"Astoria",2011,0.464285714285714,"Network_Stats"
"Tillamook",2011,0.733333333333333,"Network_Stats"
"Columbia River",2011,NA,"Network_Stats"
"Newport",2011,0.933333333333333,"Network_Stats"
"Coos Bay",2011,0.933333333333333,"Network_Stats"
"Brookings",2011,0.9,"Network_Stats"
"Crescent City",2011,0.666666666666667,"Network_Stats"
"Eureka",2011,0.8,"Network_Stats"
"Morro Bay",2011,0.666666666666667,"Network_Stats"
"Fort Bragg",2011,0.9,"Network_Stats"
"Bodega Bay",2011,0.466666666666667,"Network_Stats"
"San Francisco",2011,0.607142857142857,"Network_Stats"
"San Diego",2011,0.476190476190476,"Network_Stats"
"Monterey",2011,0.577777777777778,"Network_Stats"
"Santa Barbara",2011,0.866666666666667,"Network_Stats"
"Los Angeles",2011,0.644444444444444,"Network_Stats"
"Unknown Ports",2011,0,"Network_Stats"
"Puget Sound",2012,0.277777777777778,"Network_Stats"
"North WA Coast",2012,0.6,"Network_Stats"
"WA Coast",2012,0.809523809523809,"Network_Stats"
"Other Coastal Washington",2012,0.333333333333333,"Network_Stats"
"Astoria",2012,0.607142857142857,"Network_Stats"
"Tillamook",2012,1,"Network_Stats"
"Columbia River",2012,NA,"Network_Stats"
"Newport",2012,0.785714285714286,"Network_Stats"
"Coos Bay",2012,0.952380952380952,"Network_Stats"
"Brookings",2012,0.809523809523809,"Network_Stats"
"Crescent City",2012,0.666666666666667,"Network_Stats"
