"pcgroup","year","metier.cm","node_strength","eigen","dataset"
"Puget Sound",2004,"Salmon",0.099166834243608,0.015937339058649,"Node_Stats"
"Puget Sound",2004,"Non-DTS groundfish",0.536204268815711,0.9884658196354,"Node_Stats"
"North WA Coast",2004,"Non-DTS groundfish",0.607883350957464,0.907809356158409,"Node_Stats"
"North WA Coast",2004,"Salmon",0.119312679106569,0.157421059833303,"Node_Stats"
"WA Coast",2004,"Salmon",0.102697338064198,0.125297856410948,"Node_Stats"
"Other Coastal Washington",2004,"Salmon",NA,1,"Node_Stats"
"Astoria",2004,"Non-DTS groundfish",0.482353561251397,0.9446214492137,"Node_Stats"
"Astoria",2004,"Salmon",0.0338660714682974,0.014547124813473,"Node_Stats"
"Tillamook",2004,"Salmon",0.594986949804627,0.83750371538682,"Node_Stats"
"Tillamook",2004,"Non-DTS groundfish",0.0952799141188133,0.140011008150763,"Node_Stats"
"Columbia River",2004,"Salmon",1,1,"Node_Stats"
"Newport",2004,"Salmon",0.214506901093196,0.377731107657573,"Node_Stats"
"Coos Bay",2004,"Salmon",0.273414677436889,0.335462477493788,"Node_Stats"
"Brookings",2004,"Salmon",0.236295598369618,0.39694658924742,"Node_Stats"
"Brookings",2004,"Non-DTS groundfish",0.203723343141245,0.321801749218727,"Node_Stats"
"Crescent City",2004,"Non-DTS groundfish",0.48695166139276,0.686879159221744,"Node_Stats"
"Morro Bay",2004,"Non-DTS groundfish",0.552072372173171,0.93248923465097,"Node_Stats"
"Morro Bay",2004,"Salmon",0.610043523519557,1,"Node_Stats"
"Fort Bragg",2004,"Salmon",0.324229452335822,0.593662472281873,"Node_Stats"
"Fort Bragg",2004,"Non-DTS groundfish",0.282338685271573,0.484023496025445,"Node_Stats"
"Bodega Bay",2004,"Salmon",0.995295674799031,1,"Node_Stats"
"Bodega Bay",2004,"Non-DTS groundfish",0.00222447008182471,6.11948704770301e-06,"Node_Stats"
"San Francisco",2004,"Salmon",0.582547914682398,0.979973676466556,"Node_Stats"
"San Francisco",2004,"Non-DTS groundfish",0.228590639673484,0.161080693694264,"Node_Stats"
"Monterey",2004,"Salmon",0.418259507570846,0.88341133443739,"Node_Stats"
"Monterey",2004,"Non-DTS groundfish",0.267093583126657,0.700047168135825,"Node_Stats"
"Los Angeles",2004,"Non-DTS groundfish",0.0285800178526703,0.00054670290074801,"Node_Stats"
"Puget Sound",2005,"Salmon",0.506547929696891,0.844597731268851,"Node_Stats"
"North WA Coast",2005,"Salmon",0.571239213581872,1,"Node_Stats"
"WA Coast",2005,"Salmon",0.0945126287479749,0.0917183175915292,"Node_Stats"
"Other Coastal Washington",2005,"Salmon",NA,1,"Node_Stats"
