"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2004","30",NA,"Salmon","0.324307820098764","0.778144626498846","0","0","0","0.222222222222222","Puget Sound"
"2004","25",NA,"Crab","0.657695109653927","1","0.138888888888889","0.138888888888889","0.0833333333333333","0.444444444444444","Puget Sound"
"2004","35",NA,"Tuna","0","3.43354247491811e-24","0","0","0","0","Puget Sound"
"2004","19",NA,"Skate/dogfish/shark","0.235246991242433","1.05592884729938e-16","0","0","0","0.222222222222222","Puget Sound"
"2004","20",NA,"Prawns/shrimp","0.306967853783177","0.636440597038961","0","0","0.0833333333333333","0.333333333333333","Puget Sound"
"2004","1",NA,"DTS groundfish","0.24893179244624","1.68491901997496e-16","0.0277777777777778","0.0277777777777778","0","0.222222222222222","Puget Sound"
"2004","80",NA,"Other","0.0139406056336748","4.79082243794732e-18","0","0","0.0277777777777778","0.222222222222222","Puget Sound"
"2004","21",NA,"Pink shrimp","0.153094950420987","0.321245634421722","0","0","0.111111111111111","0.222222222222222","Puget Sound"
"2004","60",NA,"Echinoderms","0.0598148767207976","0.148273972920993","0","0","0","0.111111111111111","Puget Sound"
"2004","40",NA,"Herring","0","3.43354247491811e-24","0","0","0","0","Puget Sound"
"2004","30",NA,"Salmon","0.930484904653907","0.997220950664875","0","0","0","0.2","North WA Coast"
"2004","35",NA,"Tuna","0.0695150953460926","0.0745008426465275","0","0","0","0.2","North WA Coast"
"2004","20",NA,"Prawns/shrimp","0","0","0","0","0","0","North WA Coast"
"2004","1",NA,"DTS groundfish","1","1","0.1","0.1","0.1","0.4","North WA Coast"
"2004","25",NA,"Crab","0","0","0","0","0","0","North WA Coast"
"2004","60",NA,"Echinoderms","0","0","0","0","0","0","North WA Coast"
"2004","35",NA,"Tuna","0.714018417687358","1","0.75","0.75","0.25","0.875","WA Coast"
"2004","25",NA,"Crab","0.0162620603245273","0.0183988277717436","0","0","0","0.25","WA Coast"
"2004","30",NA,"Salmon","0.463632904738113","0.697082953117316","0.607142857142857","0.607142857142857","0","0.625","WA Coast"
"2004","80",NA,"Other","0.219665564165012","0.302899333963651","0.25","0.25","0.571428571428571","0.625","WA Coast"
"2004","1",NA,"DTS groundfish","0.160775792537659","0.339590206612801","0.25","0.25","0.607142857142857","0.875","WA Coast"
"2004","45",NA,"Coastal pelagics","0.0573861272752178","0.105145325262161","0","0","0.107142857142857","0.5","WA Coast"
"2004","21",NA,"Pink shrimp","0.29884342892329","0.707506719083545","0","0","0","0.25","WA Coast"
"2004","2",NA,"Whiting","0.0396843582631448","0.0280852115322839","0","0","0","0.375","WA Coast"
"2004","20",NA,"Prawns/shrimp","0.0297313460856777","0.0702179822214444","0","0","0.25","0.375","WA Coast"
"2004","30",NA,"Salmon","NaN","1",NA,NA,"NaN","NaN","Other Coastal Washington"
"2004","1",NA,"DTS groundfish","0.594578711567788","0.990965089364331","0.25","0.25","0.357142857142857","1","Astoria"
"2004","25",NA,"Crab","0.0100672764900876","0.00608712512842109","0","0","0.25","0.5","Astoria"
"2004","3",NA,"Non-DTS groundfish","0.568343775177597","1","0.285714285714286","0.285714285714286","0.357142857142857","0.875","Astoria"
"2004","50",NA,"Pacific halibut","0.0401519448993142","0.0736995832868946","0","0","0.178571428571429","0.5","Astoria"
"2004","30",NA,"Salmon","0.120836918023842","0.0530313306141615","0","0","0.607142857142857","0.875","Astoria"
"2004","35",NA,"Tuna","0.137802799239423","0.0522671255458461","0.25","0.25","0","0.75","Astoria"
"2004","45",NA,"Coastal pelagics","0.0542984524310958","0.0682786880701787","0","0","0.464285714285714","0.5","Astoria"
"2004","21",NA,"Pink shrimp","0.153947318875262","0.249576878166268","0.607142857142857","0.607142857142857","0","0.5","Astoria"
"2004","2",NA,"Whiting","0.319972803295589","0.568188317349537","0.25","0.25","0","0.5","Astoria"
"2004","30",NA,"Salmon","0.756229426321244","1","0.666666666666667","0.666666666666667","0.476190476190476","0.714285714285714","Tillamook"
"2004","3",NA,"Non-DTS groundfish","0.287001836957568","0.209559009888011","0.285714285714286","0.285714285714286","0.523809523809524","0.714285714285714","Tillamook"
"2004","1",NA,"DTS groundfish","0.0287126276957329","0.0141737401859856","0","0","0.714285714285714","0.428571428571429","Tillamook"
"2004","35",NA,"Tuna","0.528978083782903","0.952389923710654","0","0","0","0.285714285714286","Tillamook"
"2004","50",NA,"Pacific halibut","0.0524979783474741","0.0590624835557187","0.285714285714286","0.285714285714286","0.285714285714286","0.285714285714286","Tillamook"
"2004","25",NA,"Crab","0.198188197423317","0.266387167927356","0.19047619047619","0.19047619047619","0","0.428571428571429","Tillamook"
"2004","80",NA,"Other","0.127835642833039","0.0494635077425548","0","0","0","0.142857142857143","Tillamook"
"2004","21",NA,"Pink shrimp","0.0205562066387225","0.00224171962367762","0","0","0","0.142857142857143","Tillamook"
"2004","30",NA,"Salmon","1","1","NaN","NaN","NaN","1","Columbia River"
"2004","80",NA,"Other","1","1","NaN","NaN","NaN","1","Columbia River"
"2004","30",NA,"Salmon","0.431546710437314","0.714913984003768","0","0","0.4","0.8","Newport"
"2004","35",NA,"Tuna","0.510133712451396","0.740179235091522","0.5","0.5","0","0.8","Newport"
"2004","1",NA,"DTS groundfish","0.524145403835419","1","0.3","0.3","0","0.8","Newport"
"2004","60",NA,"Echinoderms","0","0","0","0","0","0","Newport"
"2004","21",NA,"Pink shrimp","0.099329855100058","0.171944874751903","0","0","0.3","0.6","Newport"
"2004","2",NA,"Whiting","0.434844318175813","0.938894722430067","0","0","0.3","0.6","Newport"
"2004","30",NA,"Salmon","0.752800449378708","0.999796220842069","0.133333333333333","0.133333333333333","0.133333333333333","0.833333333333333","Coos Bay"
"2004","35",NA,"Tuna","0.757953619828939","1","0.266666666666667","0.266666666666667","0.266666666666667","0.833333333333333","Coos Bay"
"2004","25",NA,"Crab","0.119990576845643","0.114981753046504","0","0","0","0.666666666666667","Coos Bay"
"2004","50",NA,"Pacific halibut","0.130768778636964","0.0865125479237851","0.133333333333333","0.133333333333333","0.0666666666666667","0.666666666666667","Coos Bay"
"2004","1",NA,"DTS groundfish","0.168638851095956","0.0681254176097504","0.333333333333333","0.333333333333333","0","1","Coos Bay"
"2004","21",NA,"Pink shrimp","0.0227529160478281","0.0186750999122673","0","0","0.533333333333333","0.5","Coos Bay"
"2004","2",NA,"Whiting","0.0470948081659615","0.00625265630756707","0","0","0.333333333333333","0.5","Coos Bay"
"2004","30",NA,"Salmon","0.323641060093728","0.355681747373208","0.333333333333333","0.333333333333333","0","0.833333333333333","Brookings"
"2004","1",NA,"DTS groundfish","0.671439964737332","0.989702738922118","0.666666666666667","0.666666666666667","0","0.833333333333333","Brookings"
"2004","25",NA,"Crab","0.0733517949872812","0.0468787029794716","0","0","0.333333333333333","0.5","Brookings"
"2004","3",NA,"Non-DTS groundfish","0.689237262474415","1","0.4","0.4","0.666666666666667","1","Brookings"
"2004","35",NA,"Tuna","0.179110456809232","0.221331282187725","0","0","0","0.666666666666667","Brookings"
"2004","80",NA,"Other","0.030030937557379","0.0537286826803615","0","0","0.2","0.333333333333333","Brookings"
"2004","50",NA,"Pacific halibut","0.0331885233406333","0.0592000649858799","0","0","0.333333333333333","0.5","Brookings"
"2004","3",NA,"Non-DTS groundfish","0.747512336483324","0.999891689989619","0","0","0.5","0.8","Crescent City"
"2004","30",NA,"Salmon","0.170722597063155","0.0123353088410995","0.4","0.4","0.6","0.8","Crescent City"
"2004","25",NA,"Crab","0.0178445103998403","0.000307066207078987","0","0","0","0.2","Crescent City"
"2004","35",NA,"Tuna","0.21723996865303","0.0477823068762329","0.6","0.6","0.3","0.8","Crescent City"
"2004","20",NA,"Prawns/shrimp","0.0972449403971731","0.0523568253269682","0","0","0","0.8","Crescent City"
"2004","1",NA,"DTS groundfish","0.749435647003478","1","0.4","0.4","0","0.6","Crescent City"
"2004","30",NA,"Salmon","0.0765001686825909","0.0483588500200251","0.285714285714286","0.285714285714286","0.523809523809524","0.857142857142857","Eureka"
