Year,% of Landings Receipts,% of Landings,% of Revenue
2003,1.7%,8.5%,28.5%
2004,1.9%,10.1%,31.0%
2005,1.8%,9.4%,33.0%
2006,1.9%,11.3%,34.3%
2007,1.9%,12.3%,31.2%
2008,1.8%,11.8%,33.2%
2009,1.6%,10.9%,28.8%
2010,1.3%,9.9%,25.3%
2011,1.4%,9.8%,26.1%
2012,1.6%,8.5%,28.0%
2013,1.5%,11.5%,27.3%
2014,1.9%,13.9%,28.3%
2015,2.7%,12.8%,28.7%
2016,7.6%,10.8%,29.4%
2017,35.1%,24.2%,60.3%
2018,36.3%,23.8%,NA
2019,43.5%,21.0%,NA
2020,41.8%,18.4%,NA
2021,42.7%,23.5%,NA
2022,41.3%,20.0%,NA
2023,42.1%,18.2%,NA
2024,27.8%,22.9%,NA
