Year,% of Landings Receipts,% of Landings,% of Revenue
2003,98.3%,91.5%,71.5%
2004,98.1%,89.9%,69.0%
2005,98.2%,90.6%,67.0%
2006,98.1%,88.7%,65.7%
2007,98.1%,87.7%,68.8%
2008,98.2%,88.2%,66.8%
2009,98.4%,89.1%,71.2%
2010,98.6%,90.0%,74.7%
2011,98.4%,89.8%,73.8%
2012,98.4%,91.5%,72.0%
2013,98.5%,88.5%,72.7%
2014,98.1%,86.0%,71.6%
2015,96.6%,83.3%,71.0%
2016,74.5%,38.7%,66.2%
2017,45.9%,25.5%,35.3%
2018,38.2%,13.2%,NA
2019,33.1%,6.2%,NA
2020,32.9%,10.0%,NA
2021,37.1%,10.0%,NA
2022,34.1%,7.7%,NA
2023,29.0%,7.3%,NA
2024,13.1%,11.8%,NA
