"year","metier","gear","metier.cm","node_strength","eigen","btwn","btwn_inverted","basic_btwn","deg_norm","pcgroup"
"2004","30",NA,"Salmon","0.333463741721094","0.784700326398962","0","0","0","0.25","Puget Sound"
"2004","25",NA,"Crab","0.669261532279879","1","0.178571428571429","0.178571428571429","0.107142857142857","0.5","Puget Sound"
"2004","35",NA,"Tuna","0","0","0","0","0","0","Puget Sound"
"2004","19",NA,"Skate/dogfish/shark","0.236819078252726","0","0","0","0","0.125","Puget Sound"
"2004","20",NA,"Prawns/shrimp","0.309187333477833","0.62836140980604","0","0","0.107142857142857","0.375","Puget Sound"
"2004","1",NA,"DTS groundfish","0.236819078252726","0","0","0","0","0.125","Puget Sound"
"2004","21",NA,"Pink shrimp","0.15420187783904","0.316070444050675","0","0","0.142857142857143","0.25","Puget Sound"
"2004","60",NA,"Echinoderms","0.0602473581767025","0.146475624681402","0","0","0","0.125","Puget Sound"
"2004","40",NA,"Herring","0","0","0","0","0","0","Puget Sound"
"2004","30",NA,"Salmon","0.930484904653907","0.997220950664875","0","0","0","0.2","North WA Coast"
"2004","35",NA,"Tuna","0.0695150953460926","0.0745008426465275","0","0","0","0.2","North WA Coast"
"2004","20",NA,"Prawns/shrimp","0","3.23258007639742e-22","0","0","0","0","North WA Coast"
"2004","1",NA,"DTS groundfish","1","1","0.1","0.1","0.1","0.4","North WA Coast"
"2004","25",NA,"Crab","0","3.23258007639742e-22","0","0","0","0","North WA Coast"
"2004","60",NA,"Echinoderms","0","3.23258007639742e-22","0","0","0","0","North WA Coast"
"2004","35",NA,"Tuna","0.630159124809987","1","0.75","0.75","0.111111111111111","0.888888888888889","WA Coast"
"2004","25",NA,"Crab","0.0140284616966934","0.0202885434803593","0","0","0","0.333333333333333","WA Coast"
"2004","30",NA,"Salmon","0.398085073345775","0.693765377000147","0.555555555555556","0.555555555555556","0.25","0.666666666666667","WA Coast"
"2004","80",NA,"Other","0.193835926959988","0.315091160230385","0.222222222222222","0.222222222222222","0.444444444444444","0.666666666666667","WA Coast"
"2004","1",NA,"DTS groundfish","0.251366129234102","0.409972428987327","0.416666666666667","0.416666666666667","0.416666666666667","0.888888888888889","WA Coast"
"2004","50",NA,"Pacific halibut","0.160143374072915","0.247174817466657","0","0","0.0833333333333333","0.444444444444444","WA Coast"
"2004","45",NA,"Coastal pelagics","0.0475086377723186","0.101546350021059","0","0","0.111111111111111","0.444444444444444","WA Coast"
"2004","21",NA,"Pink shrimp","0.247405627745283","0.685391450989816","0","0","0.333333333333333","0.333333333333333","WA Coast"
"2004","2",NA,"Whiting","0.0328537556282327","0.0284136636260888","0","0","0","0.333333333333333","WA Coast"
"2004","20",NA,"Prawns/shrimp","0.0246138887347063","0.0680271541302726","0","0","0.361111111111111","0.333333333333333","WA Coast"
"2004","30",NA,"Salmon","NaN","1",NA,NA,"NaN","NaN","Other Coastal Washington"
"2004","1",NA,"DTS groundfish","0.593149330585031","0.991626025259378","0.25","0.25","0.535714285714286","1","Astoria"
"2004","25",NA,"Crab","0.0100147087217947","0.00608530166913552","0","0","0.571428571428571","0.5","Astoria"
"2004","3",NA,"Non-DTS groundfish","0.566609789409571","1","0.285714285714286","0.285714285714286","0.214285714285714","0.875","Astoria"
"2004","50",NA,"Pacific halibut","0.0413172895073951","0.0754484504635701","0","0","0","0.5","Astoria"
"2004","30",NA,"Salmon","0.122100017891938","0.0538453001268959","0","0","0.392857142857143","0.875","Astoria"
"2004","35",NA,"Tuna","0.139298116431566","0.0526893894252164","0.25","0.25","0","0.75","Astoria"
"2004","45",NA,"Coastal pelagics","0.0540154721775751","0.0682966094572469","0","0","0.5","0.5","Astoria"
"2004","21",NA,"Pink shrimp","0.153705284773793","0.249874255227026","0.607142857142857","0.607142857142857","0.25","0.625","Astoria"
"2004","2",NA,"Whiting","0.319789990501336","0.569533121421382","0.25","0.25","0","0.625","Astoria"
"2004","30",NA,"Salmon","0.767642858408082","1","0.904761904761905","0.904761904761905","0.285714285714286","0.714285714285714","Tillamook"
"2004","3",NA,"Non-DTS groundfish","0.287266327151825","0.241010850936185","0.285714285714286","0.285714285714286","0.428571428571429","0.571428571428571","Tillamook"
"2004","35",NA,"Tuna","0.556414475462973","0.958921917671012","0","0","0.476190476190476","0.428571428571429","Tillamook"
"2004","50",NA,"Pacific halibut","0.0601605660368395","0.0747253734048323","0.285714285714286","0.285714285714286","0.571428571428571","0.428571428571429","Tillamook"
"2004","25",NA,"Crab","0.171672736591942","0.247722596645861","0","0","0","0.285714285714286","Tillamook"
"2004","80",NA,"Other","0.12498187910886","0.0550414104516968","0","0","0","0.142857142857143","Tillamook"
"2004","65",NA,"Shellfish","0.012732627960083","0.0232661196725992","0","0","0","0.142857142857143","Tillamook"
"2004","21",NA,"Pink shrimp","0.0191285292793955","0.00261189420682388","0","0","0","0.142857142857143","Tillamook"
"2004","30",NA,"Salmon","1","1","NaN","NaN","NaN","1","Columbia River"
"2004","80",NA,"Other","1","1","NaN","NaN","NaN","1","Columbia River"
"2004","30",NA,"Salmon","0.432506001854888","0.723549849252661","0","0","0.4","0.8","Newport"
"2004","35",NA,"Tuna","0.5103953136593","0.748231375430558","0.5","0.5","0","0.8","Newport"
"2004","1",NA,"DTS groundfish","0.523562033964694","1","0.3","0.3","0","0.8","Newport"
"2004","60",NA,"Echinoderms","0","2.06057236933308e-24","0","0","0","0","Newport"
"2004","21",NA,"Pink shrimp","0.099118694730256","0.172989941618887","0","0","0.3","0.6","Newport"
"2004","2",NA,"Whiting","0.434417955790862","0.938282504178237","0","0","0.3","0.6","Newport"
"2004","30",NA,"Salmon","0.812608646216778","0.997185436099567","0","0","0.3","0.8","Coos Bay"
"2004","35",NA,"Tuna","0.866188271629962","1","0.5","0.5","0","0.8","Coos Bay"
"2004","25",NA,"Crab","0.108613923244112","0.1124243171429","0","0","0","0.6","Coos Bay"
"2004","1",NA,"DTS groundfish","0.132278431434327","0.0611061879641224","0.4","0.4","0","1","Coos Bay"
"2004","21",NA,"Pink shrimp","0.0260421850274993","0.0185369982015926","0","0","0.6","0.6","Coos Bay"
"2004","2",NA,"Whiting","0.0542685424473222","0.00623346327287602","0","0","0.5","0.6","Coos Bay"
"2004","30",NA,"Salmon","0.283215022958239","0.341781270315598","0.285714285714286","0.285714285714286","0","0.714285714285714","Brookings"
"2004","1",NA,"DTS groundfish","0.707574875374802","1","0.761904761904762","0.761904761904762","0","0.857142857142857","Brookings"
"2004","25",NA,"Crab","0.0624470137036534","0.0433419663724859","0","0","0.285714285714286","0.428571428571429","Brookings"
"2004","3",NA,"Non-DTS groundfish","0.594733484499415","0.974033984892193","0.380952380952381","0.380952380952381","0.666666666666667","1","Brookings"
"2004","35",NA,"Tuna","0.16654649897044","0.22762301566537","0","0","0","0.571428571428571","Brookings"
"2004","80",NA,"Other","0.0278802114349334","0.0554283783763869","0","0","0.19047619047619","0.428571428571429","Brookings"
"2004","21",NA,"Pink shrimp","0.129348312891584","0.261417707507567","0","0","0.380952380952381","0.428571428571429","Brookings"
"2004","50",NA,"Pacific halibut","0.0282545801669327","0.056647991916248","0","0","0.285714285714286","0.428571428571429","Brookings"
"2004","3",NA,"Non-DTS groundfish","0.751481318461496","0.999979377735416","0","0","0.3","0.8","Crescent City"
"2004","30",NA,"Salmon","0.173699781357669","0.0203393796537522","0.4","0.4","0.4","0.8","Crescent City"
"2004","25",NA,"Crab","0.017556575509547","0.000498976998775781","0","0","0","0.2","Crescent City"
"2004","35",NA,"Tuna","0.213839735322271","0.0487220773232253","0.6","0.6","0.1","0.8","Crescent City"
"2004","20",NA,"Prawns/shrimp","0.0956758185430324","0.0518082037690782","0","0","0.2","0.8","Crescent City"
"2004","1",NA,"DTS groundfish","0.747746770805985","1","0.4","0.4","0","0.6","Crescent City"
"2004","30",NA,"Salmon","0.0823850520948513","0.0537929697504019","0.285714285714286","0.285714285714286","0.523809523809524","0.857142857142857","Eureka"
"2004","1",NA,"DTS groundfish","0.884567020485443","1","0.714285714285714","0.714285714285714","0.285714285714286","0.857142857142857","Eureka"
"2004","3",NA,"Non-DTS groundfish","0.601089772752941","0.923404299416434","0","0","0.619047619047619","0.714285714285714","Eureka"
"2004","35",NA,"Tuna","0.101358223919267","0.0645410162545848","0.0952380952380952","0.0952380952380952","0","0.571428571428571","Eureka"
"2004","25",NA,"Crab","0.048209031200483","0.0266738092838895","0","0","0.380952380952381","0.571428571428571","Eureka"
"2004","21",NA,"Pink shrimp","0.0213359033359218","0.0344131574759019","0","0","0","0.142857142857143","Eureka"
"2004","2",NA,"Whiting","0.258680411431184","0.41168327841838","0","0","0","0.428571428571429","Eureka"
"2004","45",NA,"Coastal pelagics","0.0023745847799089","0.000206028209192701","0","0","0","0.142857142857143","Eureka"
"2004","35",NA,"Tuna","0.0336829513029388","0.00377286280685308","0","0","0","0.166666666666667","Morro Bay"
