Year,% of Landings Receipts,% of Landings,% of Revenue
2004,0.0%,0.0%,0.0%
2005,0.0%,0.0%,0.0%
2006,0.0%,0.0%,0.0%
2007,0.0%,0.0%,0.0%
2008,0.0%,0.0%,0.0%
2009,0.0%,0.0%,0.0%
2010,0.0%,0.0%,0.0%
2011,0.0%,0.2%,0.0%
2012,0.2%,0.4%,0.0%
2013,0.0%,0.0%,0.0%
2014,0.0%,0.0%,0.0%
2015,0.1%,0.0%,0.1%
2016,0.7%,3.9%,0.3%
2017,17.9%,50.6%,4.3%
2018,19.1%,50.3%,4.3%
2019,25.5%,63.0%,18.2%
2020,23.5%,72.8%,26.1%
2021,25.3%,71.7%,26.1%
2022,20.2%,66.6%,36.2%
2023,24.5%,71.2%,35.2%
2024,25.3%,67.6%,44.8%
2025,28.6%,76.2%,58.0%
