Year,% of Landings Receipts,% of Landings,% of Revenue
2004,11.2%,18.3%,43.1%
2005,1.9%,10.1%,31.0%
2006,1.8%,9.4%,33.0%
2007,1.9%,11.3%,34.3%
2008,1.9%,12.3%,31.2%
2009,1.8%,11.8%,33.2%
2010,1.6%,10.9%,28.8%
2011,1.3%,9.9%,25.3%
2012,1.4%,9.8%,26.1%
2013,1.6%,8.5%,28.0%
2014,1.5%,11.5%,27.3%
2015,1.9%,13.9%,28.3%
2016,2.7%,12.8%,28.7%
2017,7.6%,10.8%,29.4%
2018,35.1%,24.2%,60.3%
2019,36.3%,23.8%,61.4%
2020,43.5%,21.0%,56.4%
2021,41.8%,18.3%,54.5%
2022,42.7%,23.4%,47.9%
2023,41.9%,21.3%,50.5%
2024,49.4%,25.8%,42.5%
2025,52.2%,19.7%,32.9%
