Year,% of Landings Receipts,% of Landings,% of Revenue
2004,88.8%,81.7%,56.9%
2005,98.1%,89.9%,69.0%
2006,98.2%,90.6%,67.0%
2007,98.1%,88.7%,65.7%
2008,98.1%,87.7%,68.8%
2009,98.2%,88.2%,66.8%
2010,98.4%,89.1%,71.2%
2011,98.6%,90.0%,74.7%
2012,98.4%,89.8%,73.8%
2013,98.4%,91.5%,72.0%
2014,98.5%,88.5%,72.7%
2015,98.0%,86.0%,71.6%
2016,96.6%,83.3%,71.0%
2017,74.5%,38.7%,66.2%
2018,45.9%,25.5%,35.3%
2019,38.2%,13.2%,20.5%
2020,33.1%,6.2%,17.5%
2021,33.0%,10.0%,19.3%
2022,37.1%,10.0%,15.9%
2023,33.6%,7.5%,14.4%
2024,25.4%,6.6%,12.7%
2025,19.2%,4.2%,9.2%
